sale_id,sale_date,quantity,discount_pct,revenue,product_name,category,unit_cost,unit_price,store_name,region_name,customer_name,signup_date
21,2023-10-24,1,0.0,62.21,Vacuum Cleaner,Home & Kitchen,31.42,62.21,Store #003,Midwest,Stephanie Davis,2026-05-31
22,2023-08-27,1,0.0,216.73,Perfume,Beauty,127.13,216.73,Store #004,West,Mark Merritt,2024-05-22
23,2023-10-12,1,0.0,216.73,Perfume,Beauty,127.13,216.73,Store #015,Southwest,Jacob Lewis,2025-04-24
24,2024-01-09,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #006,Southeast,Michael Frey,2024-02-06
25,2023-12-09,2,0.0,352.08,Hair Dryer,Beauty,110.45,176.04,Store #003,Midwest,Glen White,2025-08-21
26,2024-10-12,2,0.2,312.58,Bike Helmet,Sports,90.08,195.36,Store #006,Southeast,Gregory King,2025-09-12
27,2023-09-08,1,0.0,122.39,Wireless Earbuds,Electronics,93.69,122.39,Store #006,Southeast,Kenneth Warren,2025-10-24
28,2024-01-24,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #009,Midwest,Sandra Roberts,2026-04-30
29,2024-10-17,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #018,West,Patricia Hughes,2024-12-30
30,2024-12-25,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #002,West,Catherine Perkins,2025-01-08
31,2023-02-02,1,0.0,176.75,Hoodie,Apparel,103.64,176.75,Store #011,Southwest,Michael Cohen,2024-05-01
32,2023-10-02,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #003,Midwest,Ashley Saunders,2025-12-22
33,2024-08-03,1,0.2,124.11,Yoga Mat,Sports,87.71,155.14,Store #011,Southwest,Ashley Saunders,2025-12-22
34,2024-11-02,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #015,Southwest,Christopher Ponce,2024-12-22
35,2023-09-29,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #005,West,Damon Smith,2025-01-24
36,2024-07-28,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #018,West,Jennifer Obrien,2024-12-30
37,2024-08-21,1,0.15,84.25,Face Moisturizer,Beauty,66.65,99.12,Store #014,Southeast,John Lee,2025-01-16
38,2024-08-20,2,0.0,153.0,Air Fryer,Home & Kitchen,39.95,76.5,Store #013,West,David Solis,2023-10-02
39,2023-08-13,2,0.0,265.9,Lipstick Set,Beauty,62.3,132.95,Store #005,West,Kenneth Perez,2023-12-19
40,2024-05-20,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #003,Midwest,Patrick Jordan,2025-09-15
41,2023-02-18,2,0.0,383.12,Cookware Set,Home & Kitchen,93.45,191.56,Store #004,West,Daniel English,2024-02-18
42,2024-10-04,2,0.0,231.96,Shampoo,Beauty,87.32,115.98,Store #006,Southeast,Bryan Thompson,2025-06-29
43,2024-11-27,2,0.0,265.9,Lipstick Set,Beauty,62.3,132.95,Store #003,Midwest,James Brooks,2024-10-29
44,2024-01-26,2,0.2,306.5,Cookware Set,Home & Kitchen,93.45,191.56,Store #020,Southwest,Mary Harvey,2025-05-27
45,2024-06-25,1,0.0,195.36,Bike Helmet,Sports,90.08,195.36,Store #009,Midwest,Victor Kirk,2024-03-31
46,2024-07-20,2,0.0,29.72,Running Shoes,Apparel,6.92,14.86,Store #001,Southwest,Kelly Phillips,2026-06-18
47,2023-04-28,2,0.0,288.06,Resistance Bands,Sports,93.02,144.03,Store #018,West,David Perez,2024-03-24
48,2023-10-01,2,0.0,265.9,Lipstick Set,Beauty,62.3,132.95,Store #011,Southwest,Patricia Brown,2025-06-19
49,2023-10-28,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #014,Southeast,Kenneth Rose,2024-05-26
50,2024-04-09,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #001,Southwest,Christine Jackson,2025-06-15
51,2023-09-27,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #017,Southwest,Katrina Medina,2025-11-11
52,2023-07-02,2,0.2,17.66,Blender,Home & Kitchen,7.32,11.04,Store #017,Southwest,Sara Nguyen,2024-06-07
53,2023-04-19,1,0.0,99.12,Face Moisturizer,Beauty,66.65,99.12,Store #010,West,Stephanie Underwood,2025-10-07
54,2024-10-16,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #017,Southwest,Glen White,2025-08-21
55,2023-07-23,1,0.2,105.68,Cotton T-Shirt,Apparel,60.46,132.1,Store #005,West,Amy Williams,2023-09-26
56,2023-06-15,1,0.0,176.04,Hair Dryer,Beauty,110.45,176.04,Store #018,West,Christine Jackson,2025-06-15
57,2024-06-27,1,0.1,44.81,Coffee Maker,Home & Kitchen,30.14,49.79,Store #001,Southwest,Eric Walker,2024-04-12
58,2023-11-28,2,0.0,169.04,Laptop Stand,Electronics,62.98,84.52,Store #004,West,Joseph Conley,2023-08-24
59,2024-01-07,3,0.0,347.94,Shampoo,Beauty,87.32,115.98,Store #010,West,Amanda Krueger,2023-08-07
60,2023-03-01,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #008,Midwest,Jason Cameron,2024-10-10
61,2024-08-03,1,0.0,202.43,Water Bottle,Sports,113.36,202.43,Store #003,Midwest,Michelle Harris,2025-12-18
62,2024-05-12,1,0.1,13.37,Running Shoes,Apparel,6.92,14.86,Store #003,Midwest,Rachel Moody,2024-08-08
63,2024-06-29,2,0.0,285.5,Winter Jacket,Apparel,86.68,142.75,Store #005,West,Alexander Johnston,2025-06-03
64,2024-11-06,1,0.0,176.04,Hair Dryer,Beauty,110.45,176.04,Store #018,West,Michelle Parrish,2025-07-12
65,2023-09-29,1,0.0,195.36,Bike Helmet,Sports,90.08,195.36,Store #017,Southwest,Elizabeth House,2024-04-06
66,2024-09-13,1,0.0,115.98,Shampoo,Beauty,87.32,115.98,Store #014,Southeast,Paul Campbell,2026-05-26
67,2023-08-05,3,0.0,662.01,USB-C Hub,Electronics,146.19,220.67,Store #018,West,Patrick Jordan,2025-09-15
68,2024-12-10,1,0.0,122.39,Wireless Earbuds,Electronics,93.69,122.39,Store #013,West,Cody Nunez,2024-07-05
69,2024-10-27,3,0.0,465.42,Yoga Mat,Sports,87.71,155.14,Store #012,Midwest,Nicholas Hawkins,2025-02-02
70,2024-06-13,1,0.0,122.39,Wireless Earbuds,Electronics,93.69,122.39,Store #015,Southwest,Alejandro Robbins,2024-10-20
71,2023-09-11,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #008,Midwest,Henry Rivera,2025-04-02
72,2023-12-18,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #008,Midwest,Kelly Ward,2026-02-02
73,2023-08-14,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #001,Southwest,Veronica Guzman,2026-03-16
74,2024-12-25,1,0.0,195.36,Bike Helmet,Sports,90.08,195.36,Store #008,Midwest,Michael Hall,2025-07-22
75,2023-02-02,2,0.0,29.72,Running Shoes,Apparel,6.92,14.86,Store #011,Southwest,Veronica Guzman,2026-03-16
76,2024-06-10,1,0.0,191.56,Cookware Set,Home & Kitchen,93.45,191.56,Store #008,Midwest,Andrea Delgado,2026-01-25
77,2024-11-16,1,0.0,176.04,Hair Dryer,Beauty,110.45,176.04,Store #018,West,Amy Hamilton,2025-07-21
78,2024-08-07,1,0.0,191.56,Cookware Set,Home & Kitchen,93.45,191.56,Store #019,Northeast,Jason Robinson,2025-08-15
79,2023-09-06,2,0.0,231.96,Shampoo,Beauty,87.32,115.98,Store #016,Southeast,Lori Wilson,2023-12-12
80,2024-02-21,1,0.0,62.21,Vacuum Cleaner,Home & Kitchen,31.42,62.21,Store #007,Midwest,Jesse Smith,2025-04-27
81,2023-04-10,1,0.0,84.52,Laptop Stand,Electronics,62.98,84.52,Store #014,Southeast,Whitney Torres,2024-05-12
82,2024-03-09,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #014,Southeast,Mary Harvey,2025-05-27
83,2023-02-25,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #004,West,Michael Swanson,2024-02-19
84,2024-02-17,1,0.1,139.63,Yoga Mat,Sports,87.71,155.14,Store #011,Southwest,Kyle Bailey,2024-10-16
85,2023-04-22,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #008,Midwest,Michelle Howard,2025-09-26
86,2023-07-14,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #018,West,Jose Wilson,2025-07-16
87,2023-05-24,1,0.15,121.34,Winter Jacket,Apparel,86.68,142.75,Store #014,Southeast,Carlos Wolfe,2024-02-26
88,2023-10-13,1,0.0,115.98,Shampoo,Beauty,87.32,115.98,Store #015,Southwest,Mark Trujillo,2025-11-12
89,2023-03-19,1,0.0,155.14,Yoga Mat,Sports,87.71,155.14,Store #015,Southwest,Lori Wilson,2023-12-12
90,2024-07-17,1,0.0,220.67,USB-C Hub,Electronics,146.19,220.67,Store #004,West,Brandi Johnson,2025-02-17
91,2024-10-29,2,0.0,390.72,Bike Helmet,Sports,90.08,195.36,Store #018,West,Ryan Franco,2024-01-10
92,2023-01-16,1,0.0,220.67,USB-C Hub,Electronics,146.19,220.67,Store #003,Midwest,Ruben Henderson,2025-01-10
93,2023-08-31,1,0.0,191.56,Cookware Set,Home & Kitchen,93.45,191.56,Store #006,Southeast,Nathaniel Ramsey,2023-12-15
94,2024-05-12,1,0.0,202.43,Water Bottle,Sports,113.36,202.43,Store #016,Southeast,Judy French,2023-08-10
95,2024-02-15,1,0.1,110.15,Wireless Earbuds,Electronics,93.69,122.39,Store #002,West,Michelle Parrish,2025-07-12
96,2024-01-24,1,0.0,155.14,Yoga Mat,Sports,87.71,155.14,Store #001,Southwest,Tyler Ferguson,2023-09-07
97,2023-09-29,1,0.2,97.91,Wireless Earbuds,Electronics,93.69,122.39,Store #015,Southwest,Mackenzie Rowe,2024-11-26
98,2024-03-09,1,0.0,176.04,Hair Dryer,Beauty,110.45,176.04,Store #018,West,Tara Dominguez,2026-03-02
99,2024-05-13,4,0.0,199.16,Coffee Maker,Home & Kitchen,30.14,49.79,Store #005,West,Joseph Chen,2024-05-12
100,2023-10-31,1,0.0,176.75,Hoodie,Apparel,103.64,176.75,Store #007,Midwest,Regina Austin,2024-02-03
101,2023-03-01,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #019,Northeast,Brianna Kelley,2023-12-01
102,2024-07-09,2,0.0,22.08,Blender,Home & Kitchen,7.32,11.04,Store #002,West,Dennis Keller,2023-12-04
103,2023-11-19,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #016,Southeast,Kylie Powell MD,2025-06-03
104,2024-06-27,2,0.15,168.5,Face Moisturizer,Beauty,66.65,99.12,Store #006,Southeast,Christopher Wilcox,2025-05-15
105,2024-06-04,2,0.0,265.9,Lipstick Set,Beauty,62.3,132.95,Store #003,Midwest,Ashley Pierce,2026-05-12
106,2023-07-10,1,0.0,84.52,Laptop Stand,Electronics,62.98,84.52,Store #003,Midwest,Tonya White,2023-12-02
107,2023-03-11,1,0.0,84.52,Laptop Stand,Electronics,62.98,84.52,Store #008,Midwest,Kristin Kramer,2024-06-01
108,2023-05-03,1,0.0,144.03,Resistance Bands,Sports,93.02,144.03,Store #019,Northeast,Damon Smith,2025-01-24
109,2024-08-15,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #020,Southwest,Craig Gonzalez,2024-03-25
110,2024-09-26,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #003,Midwest,Julie Vasquez,2025-09-27
111,2024-11-04,4,0.0,602.92,Denim Jeans,Apparel,72.68,150.73,Store #017,Southwest,Megan Foster,2023-11-11
112,2023-09-25,2,0.0,301.46,Denim Jeans,Apparel,72.68,150.73,Store #007,Midwest,Jennifer Lee,2026-05-21
113,2023-11-13,3,0.0,33.12,Blender,Home & Kitchen,7.32,11.04,Store #005,West,Cody Nunez,2024-07-05
114,2024-10-22,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #010,West,Vickie Abbott,2023-11-08
115,2023-11-20,1,0.1,158.44,Hair Dryer,Beauty,110.45,176.04,Store #003,Midwest,Derek Carey,2025-08-22
116,2024-04-14,1,0.0,155.14,Yoga Mat,Sports,87.71,155.14,Store #020,Southwest,Kristen Delacruz,2024-01-31
117,2023-04-13,1,0.2,114.2,Winter Jacket,Apparel,86.68,142.75,Store #003,Midwest,Regina Moore,2024-12-03
118,2023-08-07,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #017,Southwest,Jessica Barron,2024-09-05
119,2023-05-16,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #012,Midwest,Julia Douglas,2025-09-01
120,2023-03-12,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #008,Midwest,Michael Frey,2024-02-06
121,2023-10-19,1,0.0,14.78,Bluetooth Speaker,Electronics,8.34,14.78,Store #006,Southeast,Nicholas Hawkins,2025-02-02
122,2024-07-10,1,0.0,14.78,Bluetooth Speaker,Electronics,8.34,14.78,Store #010,West,Matthew Foster,2024-02-28
123,2024-10-31,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #017,Southwest,Derek Carey,2025-08-22
124,2024-11-14,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #010,West,John Perkins,2026-01-21
125,2024-11-05,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #009,Midwest,Tiffany Brewer,2023-10-26
126,2023-04-20,1,0.0,76.5,Air Fryer,Home & Kitchen,39.95,76.5,Store #018,West,Kristen Campbell,2025-10-27
127,2023-10-06,4,0.0,489.56,Wireless Earbuds,Electronics,93.69,122.39,Store #010,West,Lisa Rowe,2025-04-05
128,2023-08-04,1,0.0,132.95,Lipstick Set,Beauty,62.3,132.95,Store #011,Southwest,Laura Clark,2025-06-05
129,2024-12-04,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #009,Midwest,Eric Hardin,2025-07-31
130,2024-05-15,3,0.0,253.56,Laptop Stand,Electronics,62.98,84.52,Store #009,Midwest,Erica Moreno,2025-07-22
131,2023-02-22,1,0.1,159.08,Hoodie,Apparel,103.64,176.75,Store #003,Midwest,Justin Morris,2024-04-19
132,2024-03-09,1,0.0,220.67,USB-C Hub,Electronics,146.19,220.67,Store #009,Midwest,Timothy Brown,2024-06-20
133,2023-01-04,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #011,Southwest,Kevin Johnson,2023-12-29
134,2023-05-14,1,0.1,110.15,Wireless Earbuds,Electronics,93.69,122.39,Store #009,Midwest,Chelsea Jones,2026-05-28
135,2024-03-28,1,0.0,115.98,Shampoo,Beauty,87.32,115.98,Store #018,West,Teresa Nolan,2023-12-12
136,2024-03-13,2,0.1,220.3,Wireless Earbuds,Electronics,93.69,122.39,Store #018,West,Derek Carey,2025-08-22
137,2023-04-25,1,0.1,44.81,Coffee Maker,Home & Kitchen,30.14,49.79,Store #003,Midwest,Wendy Young,2023-10-20
138,2024-12-08,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #018,West,Dakota Leach,2024-01-28
139,2024-01-14,1,0.1,159.08,Hoodie,Apparel,103.64,176.75,Store #019,Northeast,Andrew Buchanan,2025-03-23
140,2023-06-01,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #014,Southeast,Alexander Johnston,2025-06-03
141,2023-02-12,2,0.0,124.42,Vacuum Cleaner,Home & Kitchen,31.42,62.21,Store #010,West,Kendra Horton MD,2025-04-11
142,2023-02-10,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #012,Midwest,Cathy Koch,2025-12-16
143,2024-11-04,1,0.0,220.67,USB-C Hub,Electronics,146.19,220.67,Store #012,Midwest,Jason Glover,2026-05-22
144,2024-07-27,1,0.0,14.78,Bluetooth Speaker,Electronics,8.34,14.78,Store #014,Southeast,Michael Tanner,2026-05-10
145,2024-09-27,1,0.2,124.11,Yoga Mat,Sports,87.71,155.14,Store #005,West,Sandra Roberts,2026-04-30
146,2023-08-31,1,0.0,191.56,Cookware Set,Home & Kitchen,93.45,191.56,Store #006,Southeast,Zachary Lopez,2023-09-14
147,2023-07-01,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #014,Southeast,Nathan Delgado,2023-11-18
148,2023-07-03,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #011,Southwest,Julia Harrison,2026-06-28
149,2024-02-26,1,0.0,195.36,Bike Helmet,Sports,90.08,195.36,Store #008,Midwest,Cody Webb,2025-09-30
150,2023-06-13,1,0.0,176.75,Hoodie,Apparel,103.64,176.75,Store #004,West,Andrew Adams,2025-08-13
151,2023-02-09,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #016,Southeast,Terry Gonzales,2025-08-02
152,2023-07-24,1,0.15,184.22,Perfume,Beauty,127.13,216.73,Store #015,Southwest,Melissa Phillips,2024-07-30
153,2023-11-09,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #008,Midwest,Carla Price,2023-08-18
154,2023-01-25,2,0.1,89.62,Coffee Maker,Home & Kitchen,30.14,49.79,Store #007,Midwest,Theresa Torres,2025-10-27
155,2023-12-03,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #009,Midwest,Melissa Phillips,2024-07-30
156,2024-10-18,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #017,Southwest,Theresa Torres,2025-10-27
157,2024-11-26,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #018,West,Jessica Reed,2025-07-18
158,2023-01-29,1,0.0,191.56,Cookware Set,Home & Kitchen,93.45,191.56,Store #004,West,Jason Cameron,2024-10-10
159,2023-09-25,1,0.15,65.02,Air Fryer,Home & Kitchen,39.95,76.5,Store #006,Southeast,Mary Lyons,2024-08-09
160,2023-09-29,1,0.0,115.98,Shampoo,Beauty,87.32,115.98,Store #002,West,Dawn Manning,2025-08-07
161,2024-09-02,1,0.0,99.12,Face Moisturizer,Beauty,66.65,99.12,Store #014,Southeast,Kimberly Morris,2024-08-30
162,2023-11-18,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #017,Southwest,Tiffany Brewer,2023-10-26
163,2024-01-30,1,0.1,30.31,Smartwatch,Electronics,18.14,33.68,Store #019,Northeast,Joseph Chen,2024-05-12
164,2023-09-18,2,0.0,99.58,Coffee Maker,Home & Kitchen,30.14,49.79,Store #002,West,Shawn Rose,2024-12-02
165,2024-03-22,2,0.15,368.44,Perfume,Beauty,127.13,216.73,Store #001,Southwest,Ashley Simmons,2024-09-25
166,2024-07-05,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #007,Midwest,Kendra Horton MD,2025-04-11
167,2024-03-17,2,0.0,198.24,Face Moisturizer,Beauty,66.65,99.12,Store #003,Midwest,Ricardo Turner,2026-03-17
168,2024-11-11,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #020,Southwest,Laura Kirby,2023-09-30
169,2024-11-10,2,0.0,124.42,Vacuum Cleaner,Home & Kitchen,31.42,62.21,Store #010,West,Becky Cantrell,2025-07-15
170,2023-11-13,1,0.0,216.73,Perfume,Beauty,127.13,216.73,Store #011,Southwest,Kristin Kramer,2024-06-01
171,2024-12-05,1,0.0,115.98,Shampoo,Beauty,87.32,115.98,Store #007,Midwest,Victoria Hale,2024-07-04
172,2024-11-11,1,0.0,99.12,Face Moisturizer,Beauty,66.65,99.12,Store #006,Southeast,Jill Lane,2024-10-26
173,2024-08-05,2,0.0,288.06,Resistance Bands,Sports,93.02,144.03,Store #010,West,Michael Collins,2023-12-20
174,2024-07-15,1,0.0,216.73,Perfume,Beauty,127.13,216.73,Store #001,Southwest,Daniel Rivas,2025-07-21
175,2023-10-21,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #007,Midwest,Ashley White,2024-02-28
176,2024-08-16,2,0.0,288.06,Resistance Bands,Sports,93.02,144.03,Store #020,Southwest,Robert Doyle,2025-09-22
177,2023-11-26,2,0.0,352.08,Hair Dryer,Beauty,110.45,176.04,Store #015,Southwest,Meghan Park,2024-09-08
178,2023-08-07,1,0.0,155.14,Yoga Mat,Sports,87.71,155.14,Store #017,Southwest,Jason Robinson,2025-08-15
179,2023-06-23,1,0.0,220.67,USB-C Hub,Electronics,146.19,220.67,Store #003,Midwest,Brittany Rivera,2023-10-18
180,2024-06-11,1,0.0,14.78,Bluetooth Speaker,Electronics,8.34,14.78,Store #020,Southwest,Misty Mcintyre,2024-03-07
181,2023-04-06,1,0.1,44.81,Coffee Maker,Home & Kitchen,30.14,49.79,Store #008,Midwest,Jessica Wilson,2024-12-14
182,2023-11-07,1,0.0,144.03,Resistance Bands,Sports,93.02,144.03,Store #005,West,Nathan Delgado,2023-11-18
183,2023-02-17,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #008,Midwest,Christina Kelley,2024-11-02
184,2024-09-17,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #003,Midwest,Sean Thompson,2024-11-11
185,2024-02-29,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #019,Northeast,Jessica Gardner,2025-07-16
186,2024-12-13,1,0.0,132.95,Lipstick Set,Beauty,62.3,132.95,Store #008,Midwest,Brandy Lee,2023-10-03
187,2024-11-02,1,0.1,158.44,Hair Dryer,Beauty,110.45,176.04,Store #004,West,Julie Walker,2026-05-27
188,2024-03-11,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #008,Midwest,Dalton Scott,2025-03-01
189,2024-12-13,1,0.2,153.25,Cookware Set,Home & Kitchen,93.45,191.56,Store #002,West,Michael Price,2026-02-26
190,2023-09-13,1,0.1,110.15,Wireless Earbuds,Electronics,93.69,122.39,Store #004,West,Sean Thompson,2024-11-11
191,2023-05-17,2,0.0,353.5,Hoodie,Apparel,103.64,176.75,Store #015,Southwest,Keith Johnson,2023-11-13
192,2024-06-27,1,0.0,14.86,Running Shoes,Apparel,6.92,14.86,Store #018,West,Tonya White,2023-12-02
193,2023-11-21,1,0.0,33.68,Smartwatch,Electronics,18.14,33.68,Store #015,Southwest,Matthew Foster,2024-02-28
194,2024-05-31,1,0.0,220.67,USB-C Hub,Electronics,146.19,220.67,Store #014,Southeast,Mark Hunter,2024-06-02
195,2024-07-15,1,0.0,99.12,Face Moisturizer,Beauty,66.65,99.12,Store #015,Southwest,John Lee,2025-01-16
196,2023-06-12,1,0.0,62.21,Vacuum Cleaner,Home & Kitchen,31.42,62.21,Store #016,Southeast,Elizabeth Edwards,2024-03-03
197,2023-09-23,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #008,Midwest,Stephanie Underwood,2025-10-07
198,2024-10-14,1,0.15,128.12,Denim Jeans,Apparel,72.68,150.73,Store #009,Midwest,Stephanie Parker,2023-12-15
199,2024-06-17,1,0.0,14.78,Bluetooth Speaker,Electronics,8.34,14.78,Store #016,Southeast,Miguel Moore,2025-12-04
200,2023-09-02,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #009,Midwest,Mr. Charles Barber,2025-03-30
201,2023-03-21,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #010,West,Travis Wilson,2024-08-11
202,2023-10-06,1,0.15,12.63,Running Shoes,Apparel,6.92,14.86,Store #011,Southwest,Scott York,2025-04-03
203,2024-07-07,1,0.0,49.79,Coffee Maker,Home & Kitchen,30.14,49.79,Store #003,Midwest,Pamela Burch,2024-08-25
204,2023-06-04,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #008,Midwest,Justin Christensen,2024-07-25
205,2024-12-07,2,0.0,231.96,Shampoo,Beauty,87.32,115.98,Store #003,Midwest,Trevor Morgan,2024-07-30
206,2024-02-22,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #011,Southwest,Timothy Welch,2024-02-19
207,2024-04-22,1,0.0,99.12,Face Moisturizer,Beauty,66.65,99.12,Store #014,Southeast,Michael Swanson,2024-02-19
208,2023-07-31,1,0.0,176.75,Hoodie,Apparel,103.64,176.75,Store #014,Southeast,Tyler Ferguson,2023-09-07
209,2024-08-21,2,0.0,244.78,Wireless Earbuds,Electronics,93.69,122.39,Store #001,Southwest,Jennifer Brooks,2025-06-05
210,2024-08-12,1,0.0,14.78,Bluetooth Speaker,Electronics,8.34,14.78,Store #013,West,Sean Jackson,2025-06-17
211,2023-01-07,2,0.0,244.78,Wireless Earbuds,Electronics,93.69,122.39,Store #012,Midwest,Peter Rasmussen,2024-04-23
212,2024-02-04,4,0.0,338.08,Laptop Stand,Electronics,62.98,84.52,Store #014,Southeast,Regina Moore,2024-12-03
213,2024-07-13,2,0.0,264.2,Cotton T-Shirt,Apparel,60.46,132.1,Store #020,Southwest,John Lee,2025-01-16
